In September, a car bomb in Kiev killed another ethnic Chechen who had fought on the Ukrainian side.	4
Meanwhile, a Swiss court rejected the Croatian governmentʼs request for revocation of an earlier arbitration ruling relating to INA.	3
Iraqi troops launched an assault on the last ISIS group bastion in the country on Thursday even as the Kurds said Baghdad’s forces had attacked their fighters near the border with Turkey.	4
Russian Foreign Minister Sergei Lavrov on October 31 suggested that the congress plan, like the Astana talks, is an attempt at reviving the stalled Geneva negotiations.	0
Protesters in the eastern Kosovan town of Gjilan burned the Macedonian flag.	4
A car bombing by the Islamic State group killed at least 75 displaced people in eastern Syria, a monitor said Sunday, as the cornered extremists appeared to target fleeing civilians.	4
Nigerian Air Force (NAF) says it has killed several Boko Haram terrorists after an air strike on a building where the terrorist were holding meeting in Sambisa forest.	4
Netanyahu says he will seek support from PA Leader Mahmoud Abbas as well as the international community for a new reality in Gaza.	0
On Nov. 2, US Secretary of State Rex Tillerson called Russian Foreign Minister Sergey Lavrov to discuss a number of Syria-related topics on which Moscow and Washington have been moving further apart.	0
According to Rouhani's official website, the Iranian president called his Lebanese counterpart, Michel Aoun, on Tuesday to assure him that the Iranian leader firmly believes the Lebanese people will overcome this sedition and will not let their country become a battlefield for foreign powers.	0
The Chinese government insists it is strictly enforcing all United Nations sanctions, which now include a ban on North Korea's lucrative exports of coal, iron, and textiles.	3
Abu Sayyaf gunmen killed six Philippine Army soldiers and wounded four others in an ambush in the town of Sumisip, Basilan.	4
U.S. State Department spokeswoman Heather Nauert said the U.S. Embassy in Athens had conveyed significant concerns about the furlough to the Greek government.	0
With the approval by the Cabinet meeting, the Tanzanian government formally agreed and accepted the comprehensive proposal submitted by the China Merchants Port and the Oman Sovereign Fund on March 31, this year, the Ambassador said.	1
Bahraini Prime Minister, Prince Khalifa bin Salman Al Khalifa, has received the UAE Ambassador to Bahrain, Abdulridha Abdullah Mahmoud Khori, to discuss the historic brotherly ties between the UAE and the Kingdom of Bahrain.	1
Russia vetoed on Friday a Japanese-drafted U.N. Security Council resolution to extend by one month an international inquiry into who is to blame for chemical weapons attacks in Syria, just a day after Moscow blocked a U.S. push to renew the investigation.	3
Israeli Prime Minister Benjamin Netanyahu will meet French President Emmanuel Macron in Paris in early December for talks expected to include developments in Lebanon, Netanyahu's office said on Sunday.	1
On Nov. 18, NATO Secretary General Jens Stoltenberg called Erdogan to apologize for the case during the alliance's exercises held in Norway.	1
Beijing police have detained 18 people following a fire that killed 19 people and injured another eight on Saturday night, the state news agency Xinhua reported late on Monday.	4
Croatian experts have expressed hopes the Croatian government will change its policy and be more open-minded towards possible Chinese investments in the country.	0
The missiles fired by the Israeli military struck an arms depot of the Syrian army or its allied forces after midnight.	4
Israeli Prime Minister Benjamim Netanyahu praised US President Donald Trump's decision to recognize Jerusalem as Israel's capital and move the US embassy there.	1
The U.S. Government has provided peacekeeping training to AMISOM through the Department of State's Africa Contingency Operations Training and Assistance (ACOTA) program.	2
The Afghan government, a number of political parties and the Taliban on Thursday condemned US President Donald Trump's decision to recognize Jerusalem as Israel's capital.	3
The EU would step up its peace efforts and would hold talks with the Palestinian president, Mahmoud Abbas, next month.	1
The EU’s diplomatic chief on Monday bluntly rejected Israeli Prime Minister Benjamin Netanyahu’s suggestion that Europe would follow the US in recognising Jerusalem as the Jewish state’s capital.	3
French President Emmanuel Macron is hosting a United Nations (UN) climate summit in Paris on Tuesday to discuss financing issues for a landmark climate deal clinched two years ago.	1
A Turkish court has released German journalist Mesale Tolu after nearly eight months in prison but barred her from leaving Turkey, German officials said Monday.	2
The Afghan Interior Ministry, which runs the prison system, recently refused a request from The New York Times to visit Pul-e-Charki prison.	3
Palestinian Christian leaders have rejected US President Donald Trump’s decision to recognise Jerusalem as Israel’s capital, calling it “dangerous” and “insulting”.	3
Rohingya Muslim insurgents ambushed a military vehicle in Myanmar's Rakhine State, wounding five members of the security forces.	4
A Zimbabwe court has freed on bail two ex-ministers who served in former president Robert Mugabe's government and face charges of criminal abuse of office and corruption.	2
Israel's military has carried out several attacks on the Syrian army and its ally Lebanese Shia movement Hezbollah since the start of the conflict in Syria	4
The Indian Prime Minister will be hosting a private dinner for Netanyahu on 14 January after his arrival in New Delhi.	1
US President Donald Trump called President Recep Tayyip Erdogan of Turkey on Wednesday and urged him to exercise caution and to avoid any actions that might risk conflict between Turkish and American forces in Syria.	0
In October, a Taliban suicide bomber killed 15 Afghan Army trainees as they travelled home from the Marshal Fahim academy.	4
At least 11 soldiers and four militants were killed on Monday after the Islamic State attacked an army camp in western Kabul, the seventh major attack in the country this month.	4
Following his visit, Erdoğan will meet his counterpart Italian President Sergio Mattarella at a working luncheon in Rome.	1
In November, the Egyptian affiliate of the Islamic State launched a brazen attack in which nearly 40 gunmen stormed the al-Rawdah mosque in Egypt’s sparsely populated Sinai, killing more than 300 worshippers.	4
Following his visit, Erdoğan will meet his counterpart Italian President Sergio Mattarella at a working lunch in Rome.	1
At least 23 civilians were killed on February 5 as Syrian government forces launched air strikes against the rebel-held enclave of Eastern Ghouta near the capital Damascus, a monitor said.	4
IDF troops on Sunday apprehended a Lebanese man who signed signs of mental instability after having crossed the northern border into Israel.	4
Indian Prime Minister Narendra Modi pledged his country's support to the Palestinian people during a visit to Ramallah on Saturday.	1
The EU will also propose an international East Jerusalem neighborhood development plan.	0
The U.S. military launched air and artillery strikes on Syrian government-backed troops after some 300 attackers launched what appeared to be a coordinated assault on Syrian opposition forces accompanied by U.S. advisers in the province of Deir el-Zour.	4
Syrian regime forces launched a coordinated attack that included about 500 regime troops, 122mm howitzers, tanks and multiple launch rocket systems on the US-backed SDF headquarters in Deir al-Zor province approximately five miles east of the Euphrates River.	4
The United Nations, African Union, European Union, Intergovernmental Authority on Development (IGAD), Ethiopia, Italy, Sweden, the United Kingdom and United States welcomed the decisions taken at the meeting of Somalia's National Security Council (NSC) from 6-10 February 2018.	1
French police officers used batons and tear gas as around one hundred people from local Chinese community Monday evening staged a protest against the killing of a Chinese national at his home by police in a reported clash Sunday.	4
