Meanwhile Security Forces SFs arrested a militant of the ULFA I identified as Abha Deka from Dillighat in Sivasagar District on December 9 reports northeast today One pistol six live rounds and thirteen extortion letters were recovered from him The arrested militant was reportedly involved in a firing incident in Dillighat in November 2015	0	0	0	0
A village headman was shot dead by militants on July 1 in Pulwama District, reports Times of India. A senior Police officer said Militants shot at Muhammad Yusuf Bhat, the numbardar (village headman) of Wangam village in Pulwama District this evening. Bhat died on the spot.	1	0	0	0
Local Bodies Restructuring Commission (LBRC) on October 14 wrote a letter to Ministry of Federal Affairs and Local Development (MoFALD) seeking original data on ilakas (areas), reports The Himalayan Times.LBRC member Sunil Ranjan Singh said the constitutional body wrote a third letter to the Ministry as the Ministry did not respond to two of its previous letters. Singh said the revised terms of reference for the LBRC sent recently by the government had stated that ilakas should be also considered as one of main criteria while restructuring the local bodies. Singh said the LBRC would prepare its guidelines in three to four days for which it needed original data on ilakas, particularly their number, historical background, economic resources and population.	0	0	0	0
15 people, including three children, were injured in a grenade attack on Jama’at ud Dawa (JuD) madrassa, Baitul Mukarrama Al hadees, in Tehkal area of provincial capital Peshawar, reports Dawn. Superintendent Police (SP) Cantonment Peshawar Kashif said that the assailants opened fire and lobbed grenades at the seminary.	0	1	0	0
Militants opened fire and critically injured a woman Panch (member of Village Panchayat, village level local self Government institution) and a Congress worker, 45 year old Zooni, by firing at her outside her house in Dar Mohalla at village Shiva in Sopore area of Baramulla District in the evening of January 12. As reported earlier, militants had shot dead Sarpanch (head of village Panchayat) Habibullah Mir in Sopore on January 11. Police said that in both the attacks the gunmen used pistols and carried out attacks at point blank range.	1	0	0	0
Two militants belonging to I.K. Songbijit faction of the National Democratic Front of Bodoland (NDFB IKS) were killed in a joint operation by Army and Assam Police in Kokrajhar District on December 10(today) morning, reports DNA India. One AK 47 assault rifle, one pistol and ammunition were recovered from the slain militants. The encounter by the joint unit of Army Police reflects the strong stance taken against insurgency by the State following the terror attack in Kokrajhar on August 5 in which 14 civilians and one militant were killed.	0	0	0	0
A student was killed and 13 others were injured in the Diphu town of Karbi Anglong District on July 31 when Police opened fire to control group of protesters who attacked the Karbi Anglong Autonomous Council (KAAC) office and local Congress leaders residences, over non fulfilment of the demand for a Karbi State, reports The Telegraph. The protesters set ablaze six vehicles parked and vandalised the KAAC office. The mob also partially burned down the houses of six executive members of the council. The protesters led by different Karbi organisations demanded a separate homeland for the Karbis on the lines of Telangana. They urged the Central and the State Government to initiate steps to create a homeland for the Karbis under the Article 244(A) or Article 3 of the Constitution. State Additional Director General of Police (law and order), A.P. Rout said that Curfew has been imposed and additional forces were being rushed to the District.	0	0	0	0
Security Forces SFs destroyed a solarpowered printing press installed by the Communist Party of IndiaMaoist CPIMaoist on a mountain top in a remote forest of Madopara in Sukma District on March 25 reports New Indian Express The printing unit was reportedly used to publish documents statements and other publications of the banned organization “During a search operation the forces found a small printing press set up powered by portable solar panels Some printed documents and other publications of the Maoists were traced at the location This is the first time that the police have found out such a setup used by Maoists ” said a senior Police officer Acting on a tipoff about the location of Maoist leaders a joint team of District Police Force and the District Reserve Guards DRG launched a search operation and reached the area “The rebels after being cornered had opened fire on the troopers There was exchange of fire following which the ultras fled The forces further continued their movement and found the printing press unit heavy batteries and solar plates on the mountain” the Police said	0	0	0	0
In a separate incident, a blast took place inside a polling station in Watergam village of Sopore area in Baramulla District on May 6, reports ANI News. The polling station is housed in a Government school building. No casualties have been reported from the blast site so far.	0	1	0	0
China has refuted a report that it plans to open a consulate in GB, according to the Times of India. What an absurd report China hasn t even opened a consulate in Lahore, the official Global Times quoted an unnamed source as saying. Opening a consulate in a foreign country is the responsibility of the foreign ministry. We have never heard of a regional official having the right to officially inform another country about such a decision, the state run paper quoted its source. The Pakistani government is known to plant such stories in the media to force China to make its position clear, a source said. The report said Lahore is close to the India Pakistan border, suggesting this as a reason for China not opening a consulate there. The government was responding to a report published in the Kashmir Monitor and the EuroAsia Review which said that China plans to open a consulate in GB.	0	0	0	0
